trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 1.0, 'e': 0.014925373134328358}",25,8,31.63949244002617,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 1.0, 'e': 0.014705882352941176}",30,8,42.56938724886048,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 1.0, 'e': 0.014492753623188406}",30,4,22.952749285923627,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 1.0, 'e': 0.014285714285714285}",20,13,12.110073787498074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 1.0, 'e': 0.014084507042253521}",30,22,7.380966526136019,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 1.0, 'e': 0.013888888888888888}",20,12,15.255982683068307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 1.0, 'e': 0.0136986301369863}",20,5,25.608208608288066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 1.0, 'e': 0.013513513513513514}",20,0,31.3164347038188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 1.0, 'e': 0.013333333333333334}",20,6,29.972239774128077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 1.0, 'e': 0.013157894736842105}",20,2,25.95992323249216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 1.0, 'e': 0.012987012987012988}",30,15,29.454254795696166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 1.0, 'e': 0.01282051282051282}",25,14,16.438087455092532,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 1.0, 'e': 0.012658227848101266}",20,8,21.563657472023756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 1.0, 'e': 0.0125}",25,17,15.30713118851047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 1.0, 'e': 0.012345679012345678}",25,3,38.59325006280288,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 1.0, 'e': 0.012195121951219513}",20,10,21.446287261983834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 1.0, 'e': 0.012048192771084338}",20,2,21.85179687221395,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 1.0, 'e': 0.011904761904761904}",25,10,-9.712464967671592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 1.0, 'e': 0.011764705882352941}",20,9,20.28765653743223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 1.0, 'e': 0.011627906976744186}",25,10,22.22303425756566,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 1.0, 'e': 0.011494252873563218}",30,18,21.345942212914025,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 1.0, 'e': 0.011363636363636364}",20,14,7.507350553462299,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 1.0, 'e': 0.011235955056179775}",20,6,13.383764419908116,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 1.0, 'e': 0.011111111111111112}",20,5,26.617253517048052,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 1.0, 'e': 0.01098901098901099}",20,14,11.23441947047127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 1.0, 'e': 0.010869565217391304}",20,14,9.892126866428878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 1.0, 'e': 0.010752688172043012}",30,19,18.358225667091105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 1.0, 'e': 0.010638297872340425}",20,11,15.172869678760012,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 1.0, 'e': 0.010526315789473684}",35,17,31.7796491708711,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 1.0, 'e': 0.010416666666666666}",25,11,24.055477850010636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 1.0, 'e': 0.010309278350515464}",25,0,19.680080360312903,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 1.0, 'e': 0.01020408163265306}",20,0,-7.109660388781121,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 1.0, 'e': 0.010101010101010102}",20,16,7.372218684465234,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 1.0, 'e': 0.01}",25,17,15.384759905465105,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 1.0, 'e': 0.009900990099009901}",25,12,22.529406806149115,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 1.0, 'e': 0.00980392156862745}",20,9,18.34246092633552,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 1.0, 'e': 0.009708737864077669}",25,10,-19.367118520066462,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 1.0, 'e': 0.009615384615384616}",20,11,14.218537782867136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 1.0, 'e': 0.009523809523809525}",20,9,18.631802869012866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 1.0, 'e': 0.009433962264150943}",30,16,27.46992431258444,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 1.0, 'e': 0.009345794392523364}",20,7,21.40467012564846,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
